"id","UTMX","UTMY","PM10","ENS","Q0","Q1","QM","Q3","Q4","P40","P50"
79976,462818,4420558,21.0504561113049,21.11,0.0533718522548195,2.69096328727911,21.0504561113049,164.670289107521,8302.53558333197,0.12812733574779,0.0630191673661394
79977,466818,4420558,21.6218296140725,20.64,0.057293953644979,2.80630085307742,21.6218296140725,166.590661634625,8159.73564604843,0.136315714394211,0.0674641094713332
79978,470818,4420558,22.6188755577693,20.18,0.0626429975694342,2.98067800411797,22.6188755577693,171.643341142864,8167.13042716027,0.156642493406,0.0803028290808317
79979,474818,4420558,22.2640591922179,19.73,0.0644468812340135,2.97888956941672,22.2640591922179,166.400371737056,7691.42466203574,0.14812624756027,0.0746081665959621
79980,478818,4420558,22.0940902250151,19.28,0.0669133277663345,3.00251097708357,22.0940902250151,162.580195908313,7295.24056217549,0.141165657921057,0.0695349261362535
79981,482818,4420558,20.4687687711819,18.88,0.0645912628094273,2.82124924906321,20.4687687711819,148.505310244116,6486.48867950235,0.111868584278548,0.0524157216516091
79982,486818,4420558,19.6694862967277,18.48,0.06472957916092,2.75052454275948,19.6694862967277,140.659966912715,5976.99994642851,0.103838935396899,0.0488532439926889
79983,490818,4420558,20.7218279143063,18.15,0.0706439880195399,2.93311222140365,20.7218279143063,146.395405186589,6078.28300960805,0.115551836638279,0.0543769889283666
79984,494818,4420558,19.4814067220397,17.81,0.0689229844219104,2.7929317221722,19.4814067220397,135.887750085905,5506.5115222852,0.0928018133442357,0.0414350138660852
79985,498818,4420558,18.5173915771965,17.13,0.0707065770660891,2.72535521439966,18.5173915771965,125.81618315716,4849.53175576194,0.0794109218049344,0.0345861919898824
79986,502818,4420558,17.4497749128216,16.34,0.0730902593353508,2.65132981545248,17.4497749128216,114.846007740524,4166.00853899098,0.069426133726239,0.0301763010684103
79987,506818,4420558,16.9644617429851,15.64,0.0774246174426373,2.65484786075201,16.9644617429851,108.402807740435,3717.0730929659,0.0681875846352904,0.0302661550260071
79988,510818,4420558,14.5309527418287,14.99,0.072071778137204,2.34006510639653,14.5309527418287,90.2319285938184,2929.69860107089,0.0560508951355279,0.0262543307940191
79989,514818,4420558,14.7247890063572,14.43,0.0786916810468371,2.43296478172147,14.7247890063572,89.1173653275506,2755.3028274067,0.0577553898547548,0.0270937937254714
79990,518818,4420558,12.8458784096191,13.96,0.0732537093041802,2.17045270671288,12.8458784096191,76.0286513520183,2252.67216748711,0.0467335823492188,0.0223793917900712
79991,522818,4420558,12.6023351203163,13.5,0.0767427835295496,2.17797295705629,12.6023351203163,72.9204878188266,2069.4955692297,0.0447306918152789,0.0213647715564626
